id,fonte_id,titolo,link_bando,stato_bando,stato_processing,motivi_sospetto,esito_validazione,note_validazione
3,1,Area riservata Area riservata,https://coesione.regione.abruzzo.it/user/login,programmato,failed_final,deny_path|deny_keyword,,
5,1,Facebook,https://www.facebook.com/bandierisorseregioneabruzzo,programmato,failed_final,deny_host|deny_keyword,,
6,1,Linkedin,https://www.linkedin.com/company/regione-abruzzo-bandi-risorse,programmato,failed_final,deny_host|deny_keyword,,
7,1,Twitter,https://twitter.com/AbruzzoBandi,programmato,failed_final,deny_host|deny_keyword,,
8,1,YouTube,https://www.youtube.com/@bandirisorseregioneabruzzo3356,programmato,failed_final,deny_host|deny_keyword,,
35,1,Informativa privacy,https://www.regione.abruzzo.it/argomenti/na/informativa-sulla-privacy,programmato,failed_final,deny_keyword,,
36,1,Note legali,https://www.regione.abruzzo.it/argomenti/na/note-legali,programmato,failed_final,deny_keyword,,
41,3,Area riservata Area riservata,https://coesione.regione.abruzzo.it/user/login,programmato,failed_final,deny_path|deny_keyword,,
43,3,Facebook,https://www.facebook.com/bandierisorseregioneabruzzo,programmato,failed_final,deny_host|deny_keyword,,
44,3,Linkedin,https://www.linkedin.com/company/regione-abruzzo-bandi-risorse,programmato,failed_final,deny_host|deny_keyword,,
45,3,Twitter,https://twitter.com/AbruzzoBandi,programmato,failed_final,deny_host|deny_keyword,,
46,3,YouTube,https://www.youtube.com/@bandirisorseregioneabruzzo3356,programmato,failed_final,deny_host|deny_keyword,,
73,3,Informativa privacy,https://www.regione.abruzzo.it/argomenti/na/informativa-sulla-privacy,programmato,failed_final,deny_keyword,,
74,3,Note legali,https://www.regione.abruzzo.it/argomenti/na/note-legali,programmato,failed_final,deny_keyword,,
105,5,News,https://europa.regione.basilicata.it/2021-27/category/news,programmato,failed_final,deny_path,,
116,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/11/allegato_risultato_673da7391c466.pdf,programmato,failed_final,deny_keyword,,
119,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/11/allegato_risultato_673da746cd325.pdf,programmato,failed_final,deny_keyword,,
122,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/12/allegato_risultato_6751b0c3e453a.pdf,programmato,failed_final,deny_keyword,,
126,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.665_2024-Vale-la-Pena-lavorare-Convezione.pdf,programmato,failed_final,deny_keyword,,
131,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2025/01/allegato_risultato_678a1188b0500.pdf,programmato,failed_final,deny_keyword,,
139,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.492_2024-Tirocini-disoccupati-Convezione.pdf,programmato,failed_final,deny_keyword,,
142,5,Faq,https://www.agenziaregionalelab.it/wp-content/uploads/2024/10/FAQ-1.pdf,programmato,failed_final,deny_keyword,,
152,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.02_2025-Partecipazione-attiva-Convezione.pdf,programmato,failed_final,deny_keyword,,
171,5,Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2025/12/allegato_risultato_692d6b5bdf515.pdf,programmato,failed_final,deny_keyword,,
172,5,Faq,https://www.regione.basilicata.it/wp-content/uploads/2025/11/Elenco-istanze-Rientranti-nella-dotazione-Finanziaria.pdf,programmato,failed_final,deny_keyword,,
177,5,Esito,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2026/03/D.D.-n.-485-del-25.02.2026.pdf,programmato,failed_final,deny_keyword,,
184,5,Avviso,https://www.agenziaregionalelab.it/category/avvisi-e-bandi-lab,programmato,failed_final,deny_path,,
196,5,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,programmato,failed_final,deny_path,,
197,5,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,programmato,failed_final,deny_path,,
199,5,Privacy e Cookie,https://europa.regione.basilicata.it/2021-27/privacy-policy,programmato,failed_final,deny_path|deny_keyword,,
228,6,News,https://europa.regione.basilicata.it/2021-27/category/news,programmato,failed_final,deny_path,,
237,6,DD n.499 del 22.05.2025,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3420,programmato,failed_final,deny_keyword,,
238,6,allegato 2_DD n.499_Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3418,programmato,failed_final,deny_keyword,,
239,6,allegato 2_DD n.499_Calendario inviti - formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3417,programmato,failed_final,deny_keyword,,
240,6,DD n.1101 del 27.11.2024,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2668,programmato,failed_final,deny_keyword,,
241,6,Allegato 1 - DD n.1101 - Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2667,programmato,failed_final,deny_keyword,,
242,6,Allegato 1 - DD n.1101 calendario inviti- formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2671,programmato,failed_final,deny_keyword,,
243,6,DD n.1082 del 27.11.2023,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1718,programmato,failed_final,deny_keyword,,
244,6,Allegato 1 - DD n.1082 Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1715,programmato,failed_final,deny_keyword,,
245,6,Allegato 1 - DD n.1082 Calendario inviti - formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1716,programmato,failed_final,deny_keyword,,
251,6,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,programmato,failed_final,deny_path,,
252,6,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,programmato,failed_final,deny_path,,
254,6,Privacy e Cookie,https://europa.regione.basilicata.it/2021-27/privacy-policy,programmato,failed_final,deny_path|deny_keyword,,
256,7,https://www.facebook.com/PorCalabria,https://www.facebook.com/PorCalabria,programmato,failed_final,deny_host|deny_keyword,,
257,7,https://www.youtube.com/channel/UCvMDTU4EDHHJWyQik_aDqZQ,https://www.youtube.com/channel/UCvMDTU4EDHHJWyQik_aDqZQ,programmato,failed_final,deny_host|deny_keyword,,
258,7,https://www.instagram.com/porcalabria,https://www.instagram.com/porcalabria,programmato,failed_final,deny_host|deny_keyword,,
259,7,https://www.linkedin.com/company/regione-calabria,https://www.linkedin.com/company/regione-calabria,programmato,failed_final,deny_host|deny_keyword,,
265,7,https://calabriaeuropa.regione.calabria.it/area-riservata-login,https://calabriaeuropa.regione.calabria.it/area-riservata-login,programmato,failed_final,deny_keyword,,
283,7,Privacy policy,https://calabriaeuropa.regione.calabria.it/privacy-policy-2,programmato,failed_final,deny_path|deny_keyword,,
284,7,Note legali,https://calabriaeuropa.regione.calabria.it/note-legali-2,programmato,failed_final,deny_keyword,,
286,7,Powered by GDPR Cookie Compliance,https://wordpress.org/plugins/gdpr-cookie-compliance,programmato,failed_final,deny_keyword,,
288,8,https://www.facebook.com/PorCalabria,https://www.facebook.com/PorCalabria,programmato,failed_final,deny_host|deny_keyword,,
289,8,https://www.youtube.com/channel/UCvMDTU4EDHHJWyQik_aDqZQ,https://www.youtube.com/channel/UCvMDTU4EDHHJWyQik_aDqZQ,programmato,failed_final,deny_host|deny_keyword,,
290,8,https://www.instagram.com/porcalabria,https://www.instagram.com/porcalabria,programmato,failed_final,deny_host|deny_keyword,,
291,8,https://www.linkedin.com/company/regione-calabria,https://www.linkedin.com/company/regione-calabria,programmato,failed_final,deny_host|deny_keyword,,
297,8,https://calabriaeuropa.regione.calabria.it/area-riservata-login,https://calabriaeuropa.regione.calabria.it/area-riservata-login,programmato,failed_final,deny_keyword,,
330,8,Privacy policy,https://calabriaeuropa.regione.calabria.it/privacy-policy-2,programmato,failed_final,deny_path|deny_keyword,,
331,8,Note legali,https://calabriaeuropa.regione.calabria.it/note-legali-2,programmato,failed_final,deny_keyword,,
333,8,Powered by GDPR Cookie Compliance,https://wordpress.org/plugins/gdpr-cookie-compliance,programmato,failed_final,deny_keyword,,
