id,fonte_id,titolo,link_bando,stato_bando,stato_processing,motivi_sospetto,esito
3,1,Area riservata Area riservata,https://coesione.regione.abruzzo.it/user/login,programmato,ready,deny_path|deny_keyword,non pertinente
5,1,Facebook,https://www.facebook.com/bandierisorseregioneabruzzo,programmato,ready,deny_host|deny_keyword,non pertinente
6,1,Linkedin,https://www.linkedin.com/company/regione-abruzzo-bandi-risorse,programmato,ready,deny_host|deny_keyword,non pertinente
7,1,Twitter,https://twitter.com/AbruzzoBandi,programmato,ready,deny_host|deny_keyword,non pertinente
8,1,YouTube,https://www.youtube.com/@bandirisorseregioneabruzzo3356,programmato,ready,deny_host|deny_keyword,non pertinente
35,1,Informativa privacy,https://www.regione.abruzzo.it/argomenti/na/informativa-sulla-privacy,programmato,ready,deny_keyword,non pertinente
36,1,Note legali,https://www.regione.abruzzo.it/argomenti/na/note-legali,programmato,ready,deny_keyword,non pertinente
41,3,Area riservata Area riservata,https://coesione.regione.abruzzo.it/user/login,programmato,ready,deny_path|deny_keyword,non pertinente
43,3,Facebook,https://www.facebook.com/bandierisorseregioneabruzzo,programmato,ready,deny_host|deny_keyword,non pertinente
44,3,Linkedin,https://www.linkedin.com/company/regione-abruzzo-bandi-risorse,programmato,ready,deny_host|deny_keyword,non pertinente
45,3,Twitter,https://twitter.com/AbruzzoBandi,programmato,ready,deny_host|deny_keyword,non pertinente
46,3,YouTube,https://www.youtube.com/@bandirisorseregioneabruzzo3356,programmato,ready,deny_host|deny_keyword,non pertinente
73,3,Informativa privacy,https://www.regione.abruzzo.it/argomenti/na/informativa-sulla-privacy,programmato,ready,deny_keyword,non pertinente
74,3,Note legali,https://www.regione.abruzzo.it/argomenti/na/note-legali,programmato,ready,deny_keyword,non pertinente
105,5,News,https://europa.regione.basilicata.it/2021-27/category/news,programmato,ready,deny_path,non pertinente
116,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/11/allegato_risultato_673da7391c466.pdf,programmato,ready,deny_keyword,non pertinente
119,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/11/allegato_risultato_673da746cd325.pdf,programmato,ready,deny_keyword,non pertinente
122,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2024/12/allegato_risultato_6751b0c3e453a.pdf,programmato,ready,deny_keyword,non pertinente
126,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.665_2024-Vale-la-Pena-lavorare-Convezione.pdf,programmato,ready,deny_keyword,non pertinente
131,5,·Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2025/01/allegato_risultato_678a1188b0500.pdf,programmato,ready,deny_keyword,non pertinente
139,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.492_2024-Tirocini-disoccupati-Convezione.pdf,programmato,ready,deny_keyword,non pertinente
142,5,Faq,https://www.agenziaregionalelab.it/wp-content/uploads/2024/10/FAQ-1.pdf,programmato,ready,deny_keyword,non pertinente
152,5,Convenzione,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2025/07/DGR-n.02_2025-Partecipazione-attiva-Convezione.pdf,programmato,ready,deny_keyword,non pertinente
171,5,Esito,https://portalebandi.regione.basilicata.it/wp-content/uploads/2025/12/allegato_risultato_692d6b5bdf515.pdf,programmato,ready,deny_keyword,non pertinente
172,5,Faq,https://www.regione.basilicata.it/wp-content/uploads/2025/11/Elenco-istanze-Rientranti-nella-dotazione-Finanziaria.pdf,programmato,ready,deny_keyword,non pertinente
177,5,Esito,https://europa.regione.basilicata.it/2021-27/wp-content/uploads/2026/03/D.D.-n.-485-del-25.02.2026.pdf,programmato,ready,deny_keyword,non pertinente
184,5,Avviso,https://www.agenziaregionalelab.it/category/avvisi-e-bandi-lab,programmato,ready,deny_path,elenco di bandi
196,5,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,programmato,ready,deny_path,elenco di bandi
197,5,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,programmato,ready,deny_path,valido
199,5,Privacy e Cookie,https://europa.regione.basilicata.it/2021-27/privacy-policy,programmato,ready,deny_path|deny_keyword,non pertinente
228,6,News,https://europa.regione.basilicata.it/2021-27/category/news,programmato,ready,deny_path,non pertinente
237,6,DD n.499 del 22.05.2025,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3420,programmato,ready,deny_keyword,non pertinente
238,6,allegato 2_DD n.499_Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3418,programmato,ready,deny_keyword,calendario prossime aperture
239,6,allegato 2_DD n.499_Calendario inviti - formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=3417,programmato,ready,deny_keyword,non pertinente
240,6,DD n.1101 del 27.11.2024,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2668,programmato,ready,deny_keyword,non pertinente
241,6,Allegato 1 - DD n.1101 - Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2667,programmato,ready,deny_keyword,calendario prossime aperture
242,6,Allegato 1 - DD n.1101 calendario inviti- formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=2671,programmato,ready,deny_keyword,calendario prossime aperture
243,6,DD n.1082 del 27.11.2023,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1718,programmato,ready,deny_keyword,non pertinente
244,6,Allegato 1 - DD n.1082 Calendario inviti,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1715,programmato,ready,deny_keyword,calendario prossime aperture
245,6,Allegato 1 - DD n.1082 Calendario inviti - formato csv,https://europa.regione.basilicata.it/2021-27/wp-content/plugins/download-attachments/includes/download.php?id=1716,programmato,ready,deny_keyword,non pertinente
251,6,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,https://europa.regione.basilicata.it/2021-27/category/interreg-grecia-italia,programmato,ready,deny_path,elenco di bandi (link già presente sopra)
252,6,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,https://europa.regione.basilicata.it/2021-27/category/interreg-next-med,programmato,ready,deny_path,bando (link già presente sopra)
254,6,Privacy e Cookie,https://europa.regione.basilicata.it/2021-27/privacy-policy,programmato,ready,deny_path|deny_keyword,non pertinente
256,7,https://www.facebook.com/PorCalabria,https://www.facebook.com/PorCalabria,programmato,ready,deny_host|deny_keyword,non pertinente
